"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1801503604668535190","Fri Jun 14 06:35:04 +0000 2024","11889","Judi online dipelihara &gt; pendidikan dimahalin &gt; kucurin bansos. Dgn begitu populasi orang miskin &amp; bodoh bs terjaga. Jd enak kalo pemerintah bikin kebijakan yang aneh2 ga akan ada yg protes yg penting dpt bansos demi bertahan hidup. Ada ga ya negara sejahat ini?","1801503604668535190","","","in","Jakarta Capital Region, Indonesia","158","334","6026","https://x.com/MuhadklyAcho/status/1801503604668535190","873127705138520064","MuhadklyAcho"
"1801438114751385620","Fri Jun 14 02:14:50 +0000 2024","12934","- Blokir domain judi online - Blokir aplikasi judi online di toko aplikasi - Telusuri rekening bank deposit judi online - Kerja sama negara tempat server judol buat kesepakatan supaya mereka gak jualan ke Indonesia - Jadiin pemain judi online penerima bansos ","1801438114751385620","","","in","Michuhol-gu, Republic of Korea","445","540","6097","https://x.com/ardisatriawan/status/1801438114751385620","170542374","ardisatriawan"
"1801089478850924590","Thu Jun 13 03:09:29 +0000 2024","8056","Pak presiden terpilih selanjutnya nih pak menggaet promotor judi online. https://t.co/VeAJCejY7y","1801089478850924590","https://pbs.twimg.com/media/GP7BVLnbMAAQoyQ.jpg","","in","","31","42","1975","https://x.com/cinnamongirlc/status/1801089478850924590","58184629","cinnamongirlc"
"1801267300701802761","Thu Jun 13 14:56:05 +0000 2024","12280","pemerintah akan ngasih bansos kepada korban judi online krna ekonominya hancur gimana tanggapan kalian? https://t.co/ayxH3QVYLy","1801267300701802761","https://pbs.twimg.com/media/GP9jD2zbwAEWCfv.jpg","","in","BINTANG KEJORA","6618","8280","1593","https://x.com/txtdrimedia/status/1801267300701802761","1300484934449000448","txtdrimedia"
"1801640346574852532","Fri Jun 14 15:38:26 +0000 2024","9836","Efek judi online di lingkaran terdekat kalian spt apa guys?","1801640346574852532","","","in","Jakarta Selatan","1930","3908","1592","https://x.com/zoelfick/status/1801640346574852532","86934018","zoelfick"
"1800133156378755169","Mon Jun 10 11:49:23 +0000 2024","43786","Meanwhile tanggapan Menkominfo: Berantas judi online Stereotyping gender https://t.co/jSwbairkgj","1800133156378755169","https://pbs.twimg.com/media/GPtbj5kbsAAod9Z.jpg","","in","Kutub Selatan","2134","1290","10314","https://x.com/timpenguinnas/status/1800133156378755169","1457753196269473793","timpenguinnas"
"1800415404088811681","Tue Jun 11 06:30:57 +0000 2024","16487","Yang mau diblokir: - Judi online - X ","1800415404088811681","","","in","Michuhol-gu, Republic of Korea","105","160","4620","https://x.com/ardisatriawan/status/1800415404088811681","170542374","ardisatriawan"
"1801419469627265175","Fri Jun 14 01:00:44 +0000 2024","4346","(Korban Judi Online) https://t.co/Uy3VVZ2Qz6","1801419469627265175","https://pbs.twimg.com/media/GP_tdhraMAAiqdg.jpg","","in","","1747","3129","741","https://x.com/ARSIPAJA/status/1801419469627265175","2993008392","ARSIPAJA"
"1801204148190462197","Thu Jun 13 10:45:08 +0000 2024","1636"," Korban mulai berjatuhan Polisi TNI. Kalo kelen gak menyatakan perang terhadap Judi Online pecundang namanya! https://t.co/quXn4bUlSF","1801204148190462197","https://pbs.twimg.com/media/GP8ku7taAAAUhfk.jpg","","in","Warteg","18","46","640","https://x.com/BosPurwa/status/1801204148190462197","1068371293290946561","BosPurwa"
"1801540424143700191","Fri Jun 14 09:01:22 +0000 2024","758","Cobra effect ini pasti yang judi akan makin banyak karena kalau kalah dapat bansos. https://t.co/ysasmlZfpz","1801540424143700191","https://pbs.twimg.com/media/GQBbeAcbEAMakp2.jpg","","in","Semak-semak","5","0","351","https://x.com/PAClearning/status/1801540424143700191","268823196","PAClearning"
"1800379402771112436","Tue Jun 11 04:07:53 +0000 2024","24783","Sejahat jahatnya polwan yg bakar suaminya karena habiskan jatah susu anak balitanya untuk judi online lebih jahat lagi menteri yg tak bisa blokir judi online yg jadi wewenangnya.","1800379402771112436","","","in","mpuprema@gmail.com","133","113","9018","https://x.com/mpujayaprema/status/1800379402771112436","248107407","mpujayaprema"
"1801500309371380194","Fri Jun 14 06:21:58 +0000 2024","3430","Lagi kecanduan judi online seorang manajer bank di Pacitan nekat bobol dana nasabah hingga 1 2 M. Kayaknya bank BUMN nih ya kalo gak salah? https://t.co/ataTWWhJ2C","1801500309371380194","https://pbs.twimg.com/ext_tw_video_thumb/1801496282810486786/pu/img/KtwQ0j91XwiZVYgD.jpg","","in","Planeta Rica, Colombia","188","426","1480","https://x.com/5teV3n_Pe9eL/status/1801500309371380194","224431376","5teV3n_Pe9eL"
"1801479226090262660","Fri Jun 14 04:58:12 +0000 2024","889","Dapat bansos uang buat depo lagi Dapat bansos bentuk sembako dijual buat cash untuk depo Pak itu pengalaman kami2 yg pernah ngebantu saudara2/teman2 penjudi. Ketagihan judi itu susah sembuhnya pak. https://t.co/0m8P9h5IPs","1801479226090262660","https://pbs.twimg.com/media/GQAjzTBbEAEeBUD.jpg","","in","","43","105","398","https://x.com/SeputarTetangga/status/1801479226090262660","1326150244585803776","SeputarTetangga"
"1801309264088338928","Thu Jun 13 17:42:49 +0000 2024","15","Jangan cuma fokus pada pemberantasan Judi Online aja tapi juga perhatikan Judi Offline. https://t.co/hLwCn26PfX","1801309264088338928","https://pbs.twimg.com/ext_tw_video_thumb/1801309211437240325/pu/img/cjNyhKiC9WDq-h0C.jpg","","in","Indonesia","0","1","8","https://x.com/Jumianto_RK/status/1801309264088338928","903306838552092672","Jumianto_RK"
