"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1090595535570915328","Wed Jan 30 13:00:12 +0000 2019","159","`kondoms brp score kamu? btw playing with dice tuh maksudnya judi apa gmn si. hamba tida pernah dengar main dadu haram https://t.co/NMUJY3asKV","1090595535570915328","https://pbs.twimg.com/media/DyKS29BU8AA6lxn.jpg","","in","","175","987","70","https://x.com/tubirfess/status/1090595535570915328","865777701671415808","tubirfess"
"1090663685805113344","Wed Jan 30 17:31:00 +0000 2019","0","My queen judi adalah fetish nya https://t.co/8UE2BG0T1T","1090663685805113344","https://pbs.twimg.com/tweet_video_thumb/DyLQ1WuU8AIRnVJ.jpg","","in","Malang, Jawa Timur","0","1","0","https://x.com/Fiksinesia_/status/1090663685805113344","1258428535","Fiksinesia_"
"1090507210407301125","Wed Jan 30 07:09:14 +0000 2019","1","Gue berasa lg pasang judi anjir. Ga tau nnti datengnya kyk gmn wkwk https://t.co/2F2G80agVY","1090507210407301125","https://pbs.twimg.com/media/DyJChDIU8AEALZA.jpg","","in","check on #jecobaje","0","4","0","https://x.com/grasjelly/status/1090507210407301125","1055415101883215875","grasjelly"
"1090232114975395840","Tue Jan 29 12:56:06 +0000 2019","0","Sekolah Darurat #Palu https://t.co/bLHzSqUOru","1090232114975395840","https://pbs.twimg.com/media/DyFITZRUYAAmHQV.jpg","","in","Tangerang - Banda Aceh - Jogja","0","0","0","https://x.com/esonesia/status/1090232114975395840","10352972","esonesia"
"1090682585041186816","Wed Jan 30 18:46:06 +0000 2019","0","More SITUS JUDI POKERBINTANG * BONUS DEPOSIT 10 % newmember * BONUS ROLLINGAN 0 5 % * BONUS REFERALL 10 % * FREE REGISTER AGEN JUDI POKER BINTANG #agendomino #agendominoonline #agendominondonesia #agendominoterpercaya #agendominoterbesar #agendominoterbaik #bandardomino https://t.co/dQCov6h9MW","1090682585041186816","https://pbs.twimg.com/media/DyLiBlSVsAAjpzL.jpg","","in","Indonesia","0","0","0","https://x.com/JudiAgent/status/1090682585041186816","1028305957242073088","JudiAgent"
"1090236897417355264","Tue Jan 29 13:15:06 +0000 2019","0","yuk gabung bersama kami Situs Judi Kartu Online Terbaik WWW.MERAH408 .COM Dengan mini depo &amp; wd hanya 20 ribu saja dapatkan lagi bonus mingguan 0.5% dan bonus referral 15% dari kami jadi buruan gabung di sini dan jangan ampe ketinggalan sama yang lain loh.. https://t.co/GcBBcofhwo","1090236897417355264","https://pbs.twimg.com/media/DyFMoFCU8AAPrlQ.jpg","","in","Indonesia","0","0","0","https://x.com/naga888_/status/1090236897417355264","437397862","naga888_"
"1089663224650166272","Sun Jan 27 23:15:32 +0000 2019","1","Daftar Agen Poker 99 Via Android 2019 | WARUNGPOKER99 Daftar Agen Poker 99 Via Android 2019 - Dahulu bermain judi buat kelompok bettor Indonesia jelas perihal yang cukup susah. Akan tetapi saat ini sejak terdapat https://t.co/idpPTqBGPT https://t.co/xebjc1LTPi","1089663224650166272","https://pbs.twimg.com/media/Dx9C2BQVsAA4vDX.jpg","","in","Indonesia","0","3","0","https://x.com/idnplay_poker/status/1089663224650166272","1076510303595057152","idnplay_poker"
"1090385811453800449","Tue Jan 29 23:06:50 +0000 2019","1","Situs Poker Uang Asli Deposit Terendah 2019 | WARUNGPOKER99 Situs Poker Uang Asli Deposit Terendah 2019 - Bermain judi tentu saja satu perihal yang lumayan menarik karena terdapat permainan yang memberi satu penghasilan https://t.co/pSGMKkHqmp https://t.co/a7vSmEKWzy","1090385811453800449","https://pbs.twimg.com/media/DyHT_sIU8AAjfAK.jpg","","in","Indonesia","0","1","0","https://x.com/idnplay_poker/status/1090385811453800449","1076510303595057152","idnplay_poker"
"1090611486257336320","Wed Jan 30 14:03:35 +0000 2019","51","Menemukan konten pornografi narkoba penghasutan penipuan ujaran kebencian phishing/malware berita hoax judi online terorisme radikalisme prostitusi online kekerasan pelanggaran HAKI laporkan via nomor WhatsApp atau email berikut: https://t.co/wSDEVHLwba","1090611486257336320","https://pbs.twimg.com/media/DyKhW1DUwAEkUA-.jpg","","in","DKI Jakarta, Indonesia","7","8","48","https://x.com/TMCPoldaMetro/status/1090611486257336320","76647722","TMCPoldaMetro"
"1090693221221429248","Wed Jan 30 19:28:22 +0000 2019","0","Bandar Judi Online Taruhan Indonesia LIGA188 Agen Judi Bandar Judi Judi Online Situs Judi Agen Bandar Judi Situs Agen Judi https://t.co/ZahVmxRLYc #BandarJudiOnline #Liga188 #wliga188 #AgenJudi #SitusJudi #JudiOnline #AgenBAndarJudi #SitusAgenJudi https://t.co/HI7vD5Vabb","1090693221221429248","https://pbs.twimg.com/media/DyLrk9FUUAEgju7.jpg","","in","Jakarta Utara, DKI Jakarta","0","0","0","https://x.com/Liga188O/status/1090693221221429248","1050023638664007680","Liga188O"
