"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1752333243003920525","Tue Jan 30 14:09:36 +0000 2024","0","Najiss setannn iklan judi mulu kalo mau liat vidio https://t.co/Qv6NhxFESl","1752333243003920525","https://pbs.twimg.com/media/GFGJyyvaYAAJn3-.jpg","","in","Jakarta ","0","0","0","https://x.com/Jtownkidz/status/1752333243003920525","1264829103246422016","Jtownkidz"
"1752194638491140580","Tue Jan 30 04:58:50 +0000 2024","23","Have a nice day teman2 Buat teman-teman oposisi yang blm di follback silahkan titip sendalnya disini khusus untuk akun gembokan itu tolong dibereskan dulu list mutual dari akun judi pornografi Syi'ah liberalis penghina Ulama dan LGBT https://t.co/bdh4u6tXcH","1752194638491140580","https://pbs.twimg.com/media/GFELss9agAAUbvf.jpg","","in","Unknown Metaverse ","0","2","5","https://x.com/Iconman221/status/1752194638491140580","1501028490279518208","Iconman221"
"1750919744373580156","Fri Jan 26 16:32:52 +0000 2024","1026","!upi Capek-capek kuliah mahal keluar duit waktu tenaga. Eh malah dukung 02 tanpa peduli track record program yg dibawa dan org2 di baliknya. Ditanya kenapa? jawabnya yg penting ALL IN! Yg bener aje judi dong???","1750919744373580156","","","in","lg mejeng di partere","6","9","198","https://x.com/UPIfess/status/1750919744373580156","1084456172395016193","UPIfess"
"1752283737638015001","Tue Jan 30 10:52:53 +0000 2024","0","Teu maen judi. Teu boga hutang. Kabeuli deui. F*ck Judi https://t.co/bhIDMxxkEi","1752283737638015001","https://pbs.twimg.com/media/GFFcxNKa0AAcamb.jpg","","in","","0","4","0","https://x.com/jours_is/status/1752283737638015001","230749786","jours_is"
"1742144294528426240","Tue Jan 02 11:22:21 +0000 2024","14034","Di timeline kok jadi banyak Ad judi online aku doang atau yang lain ngerasain juga?","1742144294528426240","","","in","Yogyakarta, Indonesia","2089","1947","3361","https://x.com/nabiylarisfa/status/1742144294528426240","37574084","nabiylarisfa"
"1752294136965947404","Tue Jan 30 11:34:12 +0000 2024","0","Dari semua iklan judi yang bertebaran ini yang paling gokil sih pake nama surga wkwkwkwk https://t.co/tuCTHrU6Kl","1752294136965947404","https://pbs.twimg.com/media/GFFmOw0bQAAZLF1.jpg","","in","Depok (Depressed but ok)","0","0","0","https://x.com/KomorebiPerson/status/1752294136965947404","1499196200310173696","KomorebiPerson"
"1752326164516163715","Tue Jan 30 13:41:28 +0000 2024","2","PAULIE!!! karena dia adalah anak baik yang suka membantu (minus kang judi) WALAU BEGITU dia tuh tulus banget bahkan dia juga mau bantuin mugiwara kan buat nolong frobin.. itulah mengapa paulie adalah suamiku https://t.co/Tc3P9Mr0fP","1752326164516163715","https://pbs.twimg.com/media/GFGDXENa0AAIy4B.jpg","","in","ia for a while","0","0","1","https://x.com/roronoalvffy/status/1752326164516163715","1347111482496937984","roronoalvffy"
"1752314464530219391","Tue Jan 30 12:54:59 +0000 2024","0","Komen ini karena amaze juga ada yang tau st pauli eh banyak yang bales anak parle mah pada tau bang bangga kali kalian jadi tukang judi??? https://t.co/GXqsU3jREh","1752314464530219391","https://pbs.twimg.com/media/GFF4uCEaUAAP__u.jpg","","in","Czech Republic","0","0","0","https://x.com/fdlnzmn/status/1752314464530219391","46887313","fdlnzmn"
"1752334950433747230","Tue Jan 30 14:16:23 +0000 2024","0","di bawah kaki gunung marapi yang sedang aktif terbentuk sirkel judi yg aktif (update sekarang karna ga ada sinyal di sana wkwkw) https://t.co/6fjtsEMboc","1752334950433747230","https://pbs.twimg.com/media/GFGLV5Sa0AAi8-u.jpg","","in","","0","1","0","https://x.com/bebellski/status/1752334950433747230","1229728714327330817","bebellski"
"1752263997313921131","Tue Jan 30 09:34:27 +0000 2024","0","moots kalian ada yg tau ga ya ini kenapa tbtb banget banyak akun ga jelas nge like like in tweet gue? takut jujurly soalnya itu kaya akun bodong atau akun judi onlen gtiu dah https://t.co/FCCeNugSdY","1752263997313921131","https://pbs.twimg.com/media/GFFK0C9bgAA3zlQ.jpg","","in","random aj sie","0","0","0","https://x.com/ye0ppo/status/1752263997313921131","1379008079652478978","ye0ppo"
